"
"
"Current date and time: 08 September 2023, 18:35:35"
CRYPTO,AMOUNT,PRICE,VALUE
Bitcoin,0.1,25804.48,2580.4480000000003
Cardano,420.69,0.253588,106.68193571999998
DAI,200.0,0.999648,199.9296
Ethereum,0.333,1627.82,542.06406
Nano,250.0,0.627499,156.87475
Bitcoin-Cash,1.0,191.88,191.88
Monero,2.0,142.75,285.5
TOTAL:,,,4063.38
